title_w,title_c,folderlabel_w,folderlabel_c,ocr_w,ocr_c,summary_w,summary_c,ndcg_10
3.0,0.5,1.3,0.65,0.5,0.4,1.0,1.5,0.7954639641275261
3.0,0.5,1.3,0.4,0.5,0.4,1.0,0.8,0.7943725804321844
3.0,0.5,1.3,0.65,0.5,0.4,1.0,0.8,0.7940094189869519
3.0,0.5,2.5,0.1,0.5,0.4,1.0,0.8,0.7938965387461518
3.0,0.5,2.5,0.65,0.5,0.4,1.0,0.8,0.7938049117817717
3.0,0.5,1.3,0.4,0.5,0.4,1.0,1.5,0.7931332626134657
3.0,0.5,2.5,0.4,0.5,0.4,1.0,0.8,0.7930201416711284
3.0,0.5,1.3,0.1,0.5,0.4,1.0,0.8,0.792987289650468
3.0,0.5,1.3,0.1,0.5,0.4,1.0,1.5,0.7927664076393525
3.0,0.5,2.5,0.1,0.5,0.4,1.0,1.5,0.7926274229620554
3.0,0.5,1.3,0.65,0.5,0.4,1.0,0.5,0.7925830470480754
3.0,0.5,2.5,0.4,0.5,0.4,1.0,1.5,0.792132247122419
3.0,0.5,3.5,0.65,0.5,0.4,1.0,0.8,0.7916980861717462
3.0,0.5,2.5,0.65,0.5,0.4,1.0,1.5,0.7915783700952038
3.0,0.5,3.5,0.1,0.5,0.4,1.0,1.5,0.7915771901331823
3.0,0.5,2.5,0.65,0.5,0.4,1.0,0.5,0.7915613080275542
3.0,0.5,3.5,0.4,0.5,0.4,1.0,1.5,0.7913780796089358
3.0,0.5,3.5,0.65,0.5,0.4,1.0,1.5,0.791344065063718
3.0,0.5,1.3,0.4,0.5,0.4,1.0,0.5,0.7905529225847261
3.0,0.5,2.5,0.4,0.5,0.4,1.0,0.5,0.7904237677071426
3.0,0.5,2.5,0.1,0.5,0.4,1.0,0.5,0.7902712381325104
3.0,0.5,1.3,0.1,0.5,0.4,1.0,0.5,0.7901280278489797
3.0,0.5,3.5,0.4,0.5,0.4,1.0,0.8,0.7897218839246177
3.0,0.5,3.5,0.1,0.5,0.4,1.0,0.8,0.7889402889681594
3.0,0.5,3.5,0.4,0.5,0.4,1.0,0.5,0.788695054383533
3.0,0.5,3.5,0.1,0.5,0.4,1.0,0.5,0.788654359806795
3.0,0.5,3.5,0.65,0.5,0.4,1.0,0.5,0.7875278382381787
3.0,0.5,1.3,0.1,0.5,0.4,1.0,2.0,0.748885059440333
3.0,0.5,1.3,0.4,0.5,0.4,1.0,2.0,0.7479027420205097
3.0,0.5,1.3,0.65,0.5,0.4,1.0,2.0,0.7466346569784617
3.0,0.5,2.5,0.1,0.5,0.4,1.0,2.0,0.7450731686600116
3.0,0.5,3.5,0.65,0.5,0.4,1.0,2.0,0.7448108239981034
3.0,0.5,2.5,0.4,0.5,0.4,1.0,2.0,0.7443975602096321
3.0,0.5,2.5,0.65,0.5,0.4,1.0,2.0,0.744394829910479
3.0,0.5,3.5,0.1,0.5,0.4,1.0,2.0,0.7441401680498523
3.0,0.5,3.5,0.4,0.5,0.4,1.0,2.0,0.7439878492244961
